title,phone,email,platform,address,website,review_rating,review_count,category,industry,scraped_at,plus_code,open_hours,status,price_range,link,latitude,longitude,emails,contact_url
David Fenske Sand & Gravel LLC,+1 512-285-2561,sandandgravelllc@gmail.com,Duda,"1409 Old McDade Rd, Elgin, TX 78621, United States",davidfenskesandandgravel.com,4.4,35,Sand & gravel supplier,Landscaping,2026-05-28T14:54:56.401696,"8MHF+RQ Elgin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/David+Fenske+Sand+%26+Gravel+LLC/@30.329589,-97.325567,17z/data=!3m1!4b1!4m6!3m5!1s0x8644ecc9443e9365:0xaab8295c8a53032d!8m2!3d30.329589!4d-97.325567!16s%2Fg%2F1tk23b0n?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.329589,-97.325567,['sandandgravelllc@gmail.com'],https://davidfenskesandandgravel.com
Century Outdoor Services,+1 512-786-1694,,,"14707 Fitzhugh Rd Building F, Austin, TX 78736, United States",centuryoutdoor.com,4.9,168,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"6XRH+RR Austin, Texas, USA",,Closed · Opens 7:30 AM,,"https://www.google.com/maps/place/Century+Outdoor+Services/@30.2420882,-98.0204826,17z/data=!3m1!4b1!4m6!3m5!1s0x865b417c028261b1:0xcdac61f4bafd65ee!8m2!3d30.2420882!4d-98.0204826!16s%2Fg%2F1ptys653h?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.2420882,-98.0204826,[],
Cobos Landscape Solutions,+1 512-540-8287,info@cobosls.com,WordPress,"609 Beaver St, Austin, TX 78753, United States",cobosls.com,4.9,90,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"973W+9P Austin, Texas, USA",,Open 24 hours,,https://www.google.com/maps/place/Cobos+Landscape+Solutions/data=!4m7!3m6!1s0x8644ceb705d15555:0xa8aec0c1316bbf3!8m2!3d30.3534697!4d-97.7031898!16s%2Fg%2F11h3vbygm2!19sChIJVVXRBbfORIYR87sWEwzsigo,,,['info@cobosls.com'],https://cobosls.com
Grass Works,+1 512-797-1640,info@grassworksaustin.com,WordPress,"11318 Trails End Rd, Leander, TX 78641, United States",grassworksaustin.com,4.1,548,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"F3RX+94 Leander, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Grass+Works/@30.490999,-97.9021505,17z/data=!3m1!4b1!4m6!3m5!1s0x865b33ebeda62a9b:0xf87bd12dc8e4cb36!8m2!3d30.490999!4d-97.9021505!16s%2Fg%2F11c2k7wdqy?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.490999,-97.9021505,['info@grassworksaustin.com'],https://grassworksaustin.com
Top Choice Lawn Care,+1 512-291-7050,,WordPress,"10081 Schmidt Ln, Austin, TX 78737, United States",topchoiceaustin.com,4.8,614,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"63F5+9J Austin, Texas, USA",,Closed · Opens 8:30 AM,,"https://www.google.com/maps/place/Top+Choice+Lawn+Care/@30.2234844,-97.9409313,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4857aca33e07:0xdc973ebb57b86d78!8m2!3d30.2234844!4d-97.9409313!16s%2Fg%2F1tdnfp55?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.2234844,-97.9409313,[],
Maven Landscape Services,+1 512-263-3669,info@mavenlandscapes.com,,"8524 Peaceful Hill Ln, Austin, TX 78748, United States",mavenlandscapes.com,4.5,20,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"56F5+VC Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Maven+Landscape+Services/@30.1747366,-97.7914804,17z/data=!3m1!4b1!4m6!3m5!1s0x865b39cdf73277bd:0x6e98b952c80a5358!8m2!3d30.1747366!4d-97.7914804!16s%2Fg%2F1td3rxrz?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.1747366,-97.7914804,['info@mavenlandscapes.com'],https://mavenlandscapes.com
Cutters Landscaping,+1 512-560-1968,,WordPress,"9312 Margaret Jewel Ln, Austin, TX 78748, United States",cutterslandscape.com,4.9,207,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"5692+6G Austin, Texas, USA",,Closed · Opens 9 AM,,https://www.google.com/maps/place/Cutters+Landscaping/data=!4m7!3m6!1s0x865b4dc7fbcd1ad3:0xeba9aeccf6b9772b!8m2!3d30.1681057!4d-97.7987366!16s%2Fg%2F11fplytsz2!19sChIJ0xrN-8dNW4YRK3e59syuqes,,,[],
Plantscape Solutions,+1 512-626-8400,david@plantscapesolutions.net,WordPress,,plantscapesolutions.net,5.0,102,Landscaper,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Plantscape+Solutions/@30.340323,-97.8497811,10z/data=!3m1!4b1!4m6!3m5!1s0x865b4e023e0cd82d:0x8feeb3c4440d24b2!8m2!3d30.340323!4d-97.8497811!16s%2Fg%2F1tmpwd6v?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.340323,-97.8497811,['david@plantscapesolutions.net'],https://plantscapesolutions.net/contact
Straight Edge Landscaping,+1 512-905-7896,straightedgelandscapingatx@gmail.com,,,straightedgeatx.com,4.9,109,Landscaper,Landscaping,2026-05-28T14:54:56.401696,,"
Closed · Opens 8 AM

See more hours

",,,"https://www.google.com/maps/place/Straight+Edge+Landscaping/@31.5157289,-97.6640979,8z/data=!3m1!4b1!4m6!3m5!1s0x8644b1fc68bf4531:0x36548fda6df13471!8m2!3d31.5157289!4d-97.6640979!16s%2Fg%2F11mxz_tyck?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",31.5157289,-97.6640979,['straightedgelandscapingatx@gmail.com'],https://straightedgeatx.com
Terra Dura Landscapes,+1 512-400-4198,andrew@terra-dura.com,Squarespace,"6214 N Lamar Blvd building c, Austin, TX 78752, United States",terra-dura.com,4.8,29,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"87JG+CH Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Terra+Dura+Landscapes/@30.331033,-97.723539,17z/data=!3m1!4b1!4m6!3m5!1s0x8644cbd56e6e60bf:0xbfd4acc75fc8768c!8m2!3d30.331033!4d-97.723539!16s%2Fg%2F1hhj4nrlj?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.331033,-97.723539,"['andrew@terra-dura.com', 'office@terra-dura.com']",https://terra-dura.com
Native Son Gardens,,nativesongardens@gmail.com,Squarespace,,nativesongardens.com,4.7,37,Landscape designer,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 9 AM,,"https://www.google.com/maps/place/Native+Son+Gardens/@30.8077614,-97.9504385,8z/data=!3m1!4b1!4m6!3m5!1s0x8644c9f8d0eb802b:0xc19ae52eeb686ad5!8m2!3d30.8077614!4d-97.9504385!16s%2Fg%2F11j6znv52g?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.8077614,-97.9504385,['nativesongardens@gmail.com'],https://nativesongardens.com
Southern Love Landscaping & Design,+1 512-402-6575,hello@southernlovelandscaping.com,Squarespace,"111 Congress Ave. Suite 400, Austin, TX 78701, United States",southernlovelandscaping.com,5.0,270,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"7774+J9 Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Southern+Love+Landscaping+%26+Design/@30.2640048,-97.744068,17z/data=!3m1!4b1!4m6!3m5!1s0xa92533f90d78103d:0x6526a3b25e17d8aa!8m2!3d30.2640048!4d-97.744068!16s%2Fg%2F11t9rp1nt7?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.2640048,-97.744068,['hello@southernlovelandscaping.com'],https://southernlovelandscaping.com
Southern Landscape,+1 512-263-8450,info@southernlandscape.com,WordPress,"8907 Bee Caves Rd F, Austin, TX 78746, United States",southernlandscape.com,4.6,35,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"849P+2W Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Southern+Landscape/@30.3176133,-97.8626706,17z/data=!3m1!4b1!4m6!3m5!1s0x865b35dcd844326d:0x80a531a51f9f8ae1!8m2!3d30.3176133!4d-97.8626706!16s%2Fg%2F1trsyf68?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.3176133,-97.8626706,['info@southernlandscape.com'],https://southernlandscape.com/contact
Your Haven,+1 737-259-7868,eddie@yourhavendesign.com,WordPress,,yourhavendesign.com,5.0,70,Landscape designer,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 9 AM,,"https://www.google.com/maps/place/Your+Haven/@30.296114,-97.73297,11z/data=!3m1!4b1!4m6!3m5!1s0x296de2c8038d616f:0xa3388bfff897d291!8m2!3d30.296114!4d-97.73297!16s%2Fg%2F11vjh649zc?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.296114,-97.73297,"['eddie@yourhavendesign.com', 'info@yourhavendesign.com']",https://yourhavendesign.com
Sullivan's Landscaping & Lawn Service,+1 512-599-4565,customerservice@sullivanslandscapingservice.com,,"15321 Brenda St, Austin, TX 78728, United States",sullivanslandscapingservice.com,4.4,102,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"F82H+97 Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Sullivan's+Landscaping+%26+Lawn+Service/@30.4508826,-97.6718422,17z/data=!3m1!4b1!4m6!3m5!1s0x8644ce694aae1c17:0xef6b1541c44f1723!8m2!3d30.4508826!4d-97.6718422!16s%2Fg%2F11c5rwv91r?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.4508826,-97.6718422,['customerservice@sullivanslandscapingservice.com'],https://sullivanslandscapingservice.com/contact-us
Longhorn Lawns,+1 512-394-7152,info@longhornlawnsaustin.com,Webflow,"7310 Sherwood Rd, Austin, TX 78745, United States",longhornlawnsaustin.com,4.6,123,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"56R3+W3 Austin, Texas, USA",,Closed · Opens 9 AM,,"https://www.google.com/maps/place/Longhorn+Lawns/@30.1923049,-97.7972647,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4bbe12656e47:0xa1611088e44084f1!8m2!3d30.1923049!4d-97.7972647!16s%2Fg%2F11_rc5zmp?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.1923049,-97.7972647,['info@longhornlawnsaustin.com'],https://longhornlawnsaustin.com
Red Agave Lawn + Landscape,+1 512-695-7566,info@redagaveatx.com,,,redagaveatx.com,4.8,74,Landscaper,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 6 AM,,"https://www.google.com/maps/place/Red+Agave+Lawn+%2B+Landscape/@30.296114,-97.73297,11z/data=!3m1!4b1!4m6!3m5!1s0x8644b7c8fd5a21f1:0xf01d22b24e156612!8m2!3d30.296114!4d-97.73297!16s%2Fg%2F11gfk1y6x0?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.296114,-97.73297,['info@redagaveatx.com'],https://redagaveatx.com
Ground & Garden,+1 737-284-1576,info@groundandgarden.com,Squarespace,,groundandgarden.com,4.9,40,Landscape designer,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 7:30 AM,,"https://www.google.com/maps/place/Ground+%26+Garden/@30.296114,-97.7847891,11z/data=!3m1!4b1!4m6!3m5!1s0x865b4ba7bc6e01bb:0x892e8674570337f3!8m2!3d30.296114!4d-97.784789!16s%2Fg%2F11qbj8wt5g?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.296114,-97.7847891,['info@groundandgarden.com'],https://groundandgarden.com
G’s Landscaping & More,+1 512-883-8127,,,"8911 N Capital of Texas Hwy, Austin, TX 78759, United States",glandscapingandmore.com,4.6,272,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"96PR+V5 Austin, Texas, USA",,Closed · Opens 7 AM,,"https://www.google.com/maps/place/G%E2%80%99s+Landscaping+%26+More/@30.3871761,-97.7595579,17z/data=!3m1!4b1!4m6!3m5!1s0x8644c97dbd14c6c3:0x5acff1bca9c5ee2c!8m2!3d30.3871761!4d-97.7595579!16s%2Fg%2F11b6_z__zv?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.3871761,-97.7595579,[],
ABC Home & Commercial Services,+1 512-220-7705,,WordPress,"9016 Old Manor Rd, Austin, TX 78724, United States",abchomeandcommercial.com,4.9,834,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"89H8+65 Austin, Texas, USA",,Closed · Opens 7 AM,,"https://www.google.com/maps/place/ABC+Home+%26+Commercial+Services/@30.3280083,-97.634522,17z/data=!3m1!4b1!4m6!3m5!1s0x8644c906563b7323:0xd9fe516fafad7dec!8m2!3d30.3280083!4d-97.634522!16s%2Fg%2F11j07wyrd1?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.3280083,-97.634522,[],
The Grass Patch Inc,+1 737-757-7047,lamaphet@thegrasspatch.com,Duda,"633 Co Rd 175, Leander, TX 78641, United States",thegrasspatch.com,4.3,200,Landscape designer,Landscaping,2026-05-28T14:54:56.401696,"H6P4+94 Leander, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/The+Grass+Patch+Inc/@30.5859546,-97.7946929,17z/data=!3m1!4b1!4m6!3m5!1s0x865b2ca11b409f51:0xebef8fc291601405!8m2!3d30.5859546!4d-97.7946929!16s%2Fg%2F1tdb97lk?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.5859546,-97.7946929,['lamaphet@thegrasspatch.com'],https://thegrasspatch.com
Austin Native Landscaping,+1 512-705-5397,hello@austinnativelandscaping.com,WordPress,,austinnativelandscaping.com,4.8,117,Landscaper,Landscaping,2026-05-28T14:54:56.401696,,,Closed · Opens 9 AM,,"https://www.google.com/maps/place/Austin+Native+Landscaping/@30.2645554,-97.7513625,9z/data=!3m1!4b1!4m6!3m5!1s0x8644b52ff0e19abf:0xe8b74de88ee7a41f!8m2!3d30.2645554!4d-97.7513624!16s%2Fg%2F1tdfchdb?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.2645554,-97.7513625,['hello@austinnativelandscaping.com'],https://austinnativelandscaping.com/contact
Adam's Lawn Service Austin,+1 512-648-6540,,,"14514 Robert I Walker Blvd, Austin, TX 78728, United States",adamslawnservice-austin.com,4.5,93,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"C8R8+FF Austin, Texas, USA",,Open 24 hours,,"https://www.google.com/maps/place/Adam's+Lawn+Service+Austin/@30.4411938,-97.6838629,17z/data=!3m1!4b1!4m6!3m5!1s0x8644cf3a3021975b:0x4b80e2dd71d99a6e!8m2!3d30.4411938!4d-97.6838629!16s%2Fg%2F11f_jd0k8s?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.4411938,-97.6838629,[],
"Austin Gardeners, LLC",+1 512-845-1531,austingardeners@gmail.com,,"20501 FM 685, Pflugerville, TX 78660, United States",austingardenerstx.com,4.4,107,Landscape designer,Landscaping,2026-05-28T14:54:56.401696,"FCQ9+F5 Pflugerville, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Austin+Gardeners,+LLC/@30.4886558,-97.5820981,17z/data=!3m1!4b1!4m6!3m5!1s0x8644dbc1d6512d09:0x60060e0610c51791!8m2!3d30.4886558!4d-97.5820981!16s%2Fg%2F1pv6xzqr6?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.4886558,-97.5820981,['austingardeners@gmail.com'],https://austingardenerstx.com
House to House Lawn Care,+1 512-736-2550,,Squarespace,"8606 Cameron Loop, Austin, TX 78745, United States",housetohouselawncare.com,4.5,113,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"55W7+6C Austin, Texas, USA",,Closed · Opens 6 AM,,"https://www.google.com/maps/place/House+to+House+Lawn+Care/@30.1955219,-97.836449,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4c75808562e3:0x86005f1c689525db!8m2!3d30.1955219!4d-97.836449!16s%2Fg%2F1tn4yl65?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.1955219,-97.836449,[],
Strata Landscape,+1 512-653-7460,tyler@stratalandscape.com,Webflow,"7020 E Hwy 290 Building 2, Suite A, Austin, TX 78723, United States",stratalandscape.com,4.8,44,Landscaper,Landscaping,2026-05-28T14:54:56.401696,"88C7+WR Austin, Texas, USA",,Closed · Opens 8 AM,,"https://www.google.com/maps/place/Strata+Landscape/@30.322325,-97.6854893,17z/data=!3m1!4b1!4m6!3m5!1s0x8644b5f84593e3fd:0x4fa6adf26a3408fe!8m2!3d30.322325!4d-97.6854893!16s%2Fg%2F12hkwccln?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.322325,-97.6854893,['tyler@stratalandscape.com'],https://stratalandscape.com
Just Right Lawns - Austin,+1 512-861-7802,,Drupal,"5508 W US Hwy 290 Service Rd #250, Austin, TX 78735, United States",justrightlawns.com,4.5,872,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"65Q5+48 Austin, Texas, USA",,Closed · Opens 7 AM,,"https://www.google.com/maps/place/Just+Right+Lawns+-+Austin/@30.2378368,-97.84164,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4bb042bb5ef9:0x157b840d90c56866!8m2!3d30.2378368!4d-97.84164!16s%2Fg%2F1ts1n176?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.2378368,-97.84164,[],
Chem-free Organic Pest & Lawn Services,+1 512-837-9681,,WordPress,"9475 US-290, Austin, TX 78724, United States",chemfreepestandlawn.com,4.9,857,Pest control service,Landscaping,2026-05-28T14:54:56.401696,"89H8+HJ Austin, Texas, USA",,Closed · Opens 7 AM,,"https://www.google.com/maps/place/Chem-free+Organic+Pest+%26+Lawn+Services/@30.3288903,-97.633451,17z/data=!3m1!4b1!4m6!3m5!1s0x8644c86b16763029:0xc714d395f6a4dc12!8m2!3d30.3288903!4d-97.633451!16s%2Fg%2F1tjt29_4?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.3288903,-97.633451,[],
Green Earth Conservation Lawns,+1 512-430-1228,,,"11416 Naples Cove, Austin, TX 78739, United States",geclawns.com,4.9,36,Lawn care service,Landscaping,2026-05-28T14:54:56.401696,"53QX+82 Austin, Texas, USA","
Closed · Opens 8 AM

See more hours

",,,"https://www.google.com/maps/place/Green+Earth+Conservation+Lawns/@30.188357,-97.902396,17z/data=!3m1!4b1!4m6!3m5!1s0x865b4ecfa8b7f367:0xdda84bba3889ef5a!8m2!3d30.188357!4d-97.902396!16s%2Fg%2F11c17r_hhj?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",30.188357,-97.902396,[],
